RA,Fase,Turma,Gênero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra 22,INDE 22,Cg,Cf,Ct,Nº Av,Avaliador1,Avaliador2,Avaliador3,Avaliador4,IAA,IEG,IPS,IDA,Mat,Por,Ing,IPV,IAN,Fase_Ideal,Defasagem,IPP,INDE 23,INDE_ano_atual,pedra_ano_atual,ano,Fase_Ideal_1,Fase_Ideal_2
RA-434,FASE 2,2M,Masculino,2022,Pública,,,Ametista,7.403,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,6.3,8.0,7.52,6.6,5.2,8.0,,7.613333333,5.0,Fase 3 (7° e 8° ano),-1,7.5,,7.069766667,Ametista,2023,Fase 3,7° e 8° ano
RA-603,FASE 2,2M,Masculino,2022,Pública,,,Ametista,7.78,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,0.0,8.9,2.52,7.0,5.7,8.2,,7.78,10.0,Fase 2 (5° e 6° ano),0,7.708333333,,6.748833333,Ágata,2023,Fase 2,5° e 6° ano
RA-436,FASE 2,2M,Masculino,2022,Pública,,,Ágata,6.687,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,7.5,4.7,2.52,3.4,3.7,3.0,,7.613333333,5.0,Fase 3 (7° e 8° ano),-1,6.875,,5.322366667,Quartzo,2023,Fase 3,7° e 8° ano
RA-616,FASE 2,2M,Masculino,2019,Pública,Ágata,Ametista,Ametista,7.303,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,0.0,6.6,5.02,6.8,5.5,8.0,,6.783333333,5.0,Fase 3 (7° e 8° ano),-1,5.833333333,,5.612,Quartzo,2023,Fase 3,7° e 8° ano
RA-437,FASE 2,2M,Masculino,2022,Pública,,,Ágata,6.875,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,8.0,8.4,7.52,4.7,2.5,6.8,,7.78,5.0,Fase 4 (9° ano),-2,7.291666667,,6.947366667,Ágata,2023,Fase 4,9° ano
RA-1125,FASE 2,2M,Feminino,2023,Pública,,,,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,4.7,7.9,7.52,4.0,1.0,7.0,,6.95,10.0,Fase 2 (5° e 6° ano),0,6.666666667,,6.655366667,Ágata,2023,Fase 2,5° e 6° ano
RA-619,FASE 2,2M,Feminino,2021,Pública,,Ametista,Ametista,7.693,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,9.0,7.1,3.77,9.0,8.5,9.5,,8.116666667,10.0,Fase 2 (5° e 6° ano),0,7.708333333,,7.891366667,Ametista,2023,Fase 2,5° e 6° ano
RA-620,FASE 2,2M,Masculino,2021,Pública,,Ametista,Ágata,6.018,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,6.8,8.4,7.52,6.2,5.2,7.2,,7.503333333,5.0,Fase 3 (7° e 8° ano),-1,6.875,,7.043666667,Ametista,2023,Fase 3,7° e 8° ano
RA-1127,FASE 2,2N,Feminino,2023,Pública,,,,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,8.5,9.9,5.02,6.9,5.0,8.7,,9.01,10.0,Fase 2 (5° e 6° ano),0,8.125,,8.3167,Topázio,2023,Fase 2,5° e 6° ano
RA-1128,FASE 2,2N,Masculino,2023,Pública,,,,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,9.5,7.3,5.02,3.5,3.0,4.0,,7.503333333,5.0,Fase 3 (7° e 8° ano),-1,7.916666667,,6.404533333,Ágata,2023,Fase 3,7° e 8° ano
RA-1129,FASE 2,2N,Masculino,2023,Pública,,,,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,0.0,9.2,6.27,7.8,6.8,8.7,,7.503333333,10.0,Fase 2 (5° e 6° ano),0,7.916666667,,7.309333333,Ametista,2023,Fase 2,5° e 6° ano
RA-1130,FASE 2,2N,Masculino,2023,Pública,,,,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,8.5,8.4,7.52,7.3,6.3,8.2,,7.503333333,10.0,Fase 2 (5° e 6° ano),0,7.708333333,,8.0037,Topázio,2023,Fase 2,5° e 6° ano
RA-1131,FASE 2,2N,Feminino,2023,Pública,,,,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,7.9,9.9,5.02,9.1,8.3,9.8,,9.286666667,5.0,Fase 3 (7° e 8° ano),-1,8.75,,8.316133333,Topázio,2023,Fase 3,7° e 8° ano
RA-1132,FASE 2,2N,Masculino,2023,Pública,,,,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,10.0,6.3,6.27,5.8,5.2,6.3,,7.503333333,5.0,Fase 3 (7° e 8° ano),-1,7.916666667,,6.829533333,Ágata,2023,Fase 3,7° e 8° ano
RA-1133,FASE 2,2N,Feminino,2023,Pública,,,,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,9.5,10.0,6.27,6.5,5.0,8.0,,9.343333333,10.0,Fase 2 (5° e 6° ano),0,8.541666667,,8.600033333,Topázio,2023,Fase 2,5° e 6° ano
RA-1134,FASE 2,2N,Masculino,2023,Pública,,,,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,8.0,9.7,3.76,6.8,5.5,8.0,,7.56,10.0,Fase 2 (5° e 6° ano),0,7.916666667,,7.769866667,Ametista,2023,Fase 2,5° e 6° ano
RA-618,FASE 2,2N,Masculino,2020,Pública,Ametista,Ametista,Ametista,7.18,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,0.0,9.2,5.02,6.2,4.5,7.8,,7.95,5.0,Fase 4 (9° ano),-2,8.125,,6.4745,Ágata,2023,Fase 4,9° ano
RA-631,FASE 2,2N,Masculino,2022,Pública,,,Ágata,6.928,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,0.0,6.4,6.27,7.0,6.0,8.0,,6.78,5.0,Fase 3 (7° e 8° ano),-1,7.916666667,,5.954666667,Quartzo,2023,Fase 3,7° e 8° ano
RA-646,FASE 2,2P,Masculino,2019,Pública,Ametista,Ametista,Topázio,8.181,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,10.0,8.9,7.52,8.4,8.2,8.5,,8.783333333,5.0,Fase 3 (7° e 8° ano),-1,8.958333333,,8.3547,Topázio,2023,Fase 3,7° e 8° ano
RA-451,FASE 2,2P,Feminino,2019,Pública,Ametista,Quartzo,Ágata,6.434,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,8.5,9.5,4.39,8.9,7.8,10.0,,9.896666667,5.0,Fase 4 (9° ano),-2,9.375,,8.386033333,Topázio,2023,Fase 4,9° ano
RA-1135,FASE 2,2P,Masculino,2023,Pública,,,,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,0.0,9.4,7.52,7.2,4.8,9.5,,7.896666667,10.0,Fase 2 (5° e 6° ano),0,8.125,,7.453833333,Ametista,2023,Fase 2,5° e 6° ano
RA-649,FASE 2,2P,Feminino,2019,Pública,Ágata,Ametista,Ametista,7.302,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,9.0,9.3,3.77,6.5,3.8,9.2,,8.836666667,5.0,Fase 3 (7° e 8° ano),-1,8.75,,7.579533333,Ametista,2023,Fase 3,7° e 8° ano
RA-651,FASE 2,2P,Feminino,2022,Pública,,,Ametista,7.866,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,0.0,8.2,3.77,9.3,9.8,8.7,,7.95,10.0,Fase 2 (5° e 6° ano),0,8.75,,7.332,Ametista,2023,Fase 2,5° e 6° ano
RA-1136,FASE 2,2P,Feminino,2023,Pública,,,,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,6.8,8.1,2.52,6.6,4.8,8.3,,7.723333333,5.0,Fase 3 (7° e 8° ano),-1,8.333333333,,6.7351,Ágata,2023,Fase 3,7° e 8° ano
RA-653,FASE 2,2P,Feminino,2022,Pública,,,Topázio,8.101,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,0.0,9.8,6.27,7.9,7.7,8.0,,9.06,5.0,Fase 3 (7° e 8° ano),-1,9.166666667,,7.385666667,Ametista,2023,Fase 3,7° e 8° ano
RA-456,FASE 2,2P,Feminino,2022,Pública,,,Ametista,7.193,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,0.0,8.3,4.39,9.9,9.7,10.0,,9.953333333,5.0,Fase 3 (7° e 8° ano),-1,9.583333333,,7.518,Ametista,2023,Fase 3,7° e 8° ano
RA-655,FASE 2,2P,Feminino,2019,Pública,Ametista,Ametista,Ametista,7.785,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,7.4,9.9,7.52,8.3,7.2,9.3,,8.896666667,5.0,Fase 3 (7° e 8° ano),-1,9.166666667,,8.3198,Topázio,2023,Fase 3,7° e 8° ano
RA-656,FASE 2,2P,Feminino,2020,Pública,Topázio,Ametista,Ágata,6.652,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,0.0,8.9,7.52,7.3,5.8,8.8,,7.173333333,5.0,Fase 3 (7° e 8° ano),-1,8.541666667,,6.780833333,Ágata,2023,Fase 3,7° e 8° ano
RA-657,FASE 2,2P,Feminino,2021,Pública,,Ametista,Topázio,8.093,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,8.5,10.0,7.52,8.2,7.0,9.3,,8.73,5.0,Fase 3 (7° e 8° ano),-1,8.75,,8.3532,Topázio,2023,Fase 3,7° e 8° ano
RA-644,FASE 2,2P,Feminino,2021,Pública,,Ametista,Ametista,7.83,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,10.0,5.6,7.52,5.9,4.0,7.7,,7.503333333,5.0,Fase 3 (7° e 8° ano),-1,8.541666667,,6.897033333,Ágata,2023,Fase 3,7° e 8° ano
RA-461,FASE 2,2P,Feminino,2018,Pública,Ametista,Ametista,Quartzo,5.451,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,,7.3,7.9,3.77,7.4,5.7,9.0,,8.616666667,5.0,Fase 3 (7° e 8° ano),-1,8.541666667,,7.2379,Ametista,2023,Fase 3,7° e 8° ano
RA-632,FASE 2,2R,Feminino,2022,Pública,,,Ágata,6.996,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,4.7,9.1,5.64,7.4,6.8,8.0,,8.563333333,10.0,Fase 2 (5° e 6° ano),0,8.333333333,,7.8768,Ametista,2023,Fase 2,5° e 6° ano
RA-633,FASE 2,2R,Feminino,2020,Pública,Ametista,Ágata,Ametista,7.476,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,1.7,8.1,6.27,7.2,5.3,9.0,,7.286666667,5.0,Fase 3 (7° e 8° ano),-1,8.541666667,,6.6552,Ágata,2023,Fase 3,7° e 8° ano
RA-1137,FASE 2,2R,Feminino,2023,Pública,,,,,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,9.5,9.8,6.27,6.5,6.0,7.0,,9.843333333,10.0,Fase 2 (5° e 6° ano),0,9.375,,8.743366667,Topázio,2023,Fase 2,5° e 6° ano
RA-1138,FASE 2,2R,Feminino,2023,Pública,,,,,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,9.0,9.2,6.27,9.3,9.0,9.5,,8.566666667,5.0,Fase 3 (7° e 8° ano),-1,9.166666667,,8.3472,Topázio,2023,Fase 3,7° e 8° ano
RA-1139,FASE 2,2R,Masculino,2023,Pública,,,,,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,8.5,9.1,5.64,5.3,6.3,4.3,,7.79,10.0,Fase 2 (5° e 6° ano),0,8.125,,7.6647,Ametista,2023,Fase 2,5° e 6° ano
RA-1140,FASE 2,2R,Feminino,2023,Pública,,,,,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,4.7,8.7,7.52,7.3,8.5,6.0,,7.62,10.0,Fase 2 (5° e 6° ano),0,7.708333333,,7.703533333,Ametista,2023,Fase 2,5° e 6° ano
RA-445,FASE 2,2R,Masculino,2022,Pública,,,Ágata,6.924,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,8.0,8.8,6.89,8.4,7.7,9.0,,8.176666667,5.0,Fase 3 (7° e 8° ano),-1,8.541666667,,7.9087,Ametista,2023,Fase 3,7° e 8° ano
RA-1141,FASE 2,2R,Feminino,2023,Pública,,,,,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,9.0,8.8,7.52,5.9,5.5,6.2,,7.113333333,5.0,Fase 3 (7° e 8° ano),-1,7.708333333,,7.2757,Ametista,2023,Fase 3,7° e 8° ano
RA-639,FASE 2,2R,Feminino,2021,Pública,,Ametista,Ágata,6.613,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,7.4,8.1,6.27,6.3,4.8,7.8,,7.62,10.0,Fase 2 (5° e 6° ano),0,8.125,,7.5853,Ametista,2023,Fase 2,5° e 6° ano
RA-1142,FASE 2,2R,Feminino,2023,Pública,,,,,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,9.0,10.0,7.52,10.0,10.0,10.0,,8.343333333,10.0,Fase 2 (5° e 6° ano),0,8.541666667,,9.175033333,Topázio,2023,Fase 2,5° e 6° ano
RA-642,FASE 2,2R,Feminino,2021,Pública,,Topázio,Ametista,7.75,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,9.5,9.2,6.27,6.5,5.7,7.2,,9.173333333,10.0,Fase 2 (5° e 6° ano),0,8.75,,8.416866667,Topázio,2023,Fase 2,5° e 6° ano
RA-658,FASE 2,2U,Feminino,2022,Pública,,,Ametista,7.407,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,9.5,9.5,7.52,6.1,5.3,6.8,,9.173333333,10.0,Fase 2 (5° e 6° ano),0,7.916666667,,8.438533333,Topázio,2023,Fase 2,5° e 6° ano
RA-588,FASE 2,2U,Feminino,2021,Privada - Programa de Apadrinhamento,,Topázio,Topázio,8.622,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,8.0,9.6,2.52,7.8,7.5,8.0,,9.673333333,10.0,Fase 2 (5° e 6° ano),0,8.958333333,,8.3527,Topázio,2023,Fase 2,5° e 6° ano
RA-662,FASE 2,2U,Feminino,2022,Pública,,,Ametista,7.044,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,6.8,7.6,6.27,6.7,4.3,9.0,,6.72,5.0,Fase 3 (7° e 8° ano),-1,7.291666667,,6.733566667,Ágata,2023,Fase 3,7° e 8° ano
RA-403,FASE 2,2U,Masculino,2020,Pública,Ametista,Ametista,Ametista,7.455,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,8.5,8.8,6.27,7.8,6.8,8.8,,8.45,5.0,Fase 3 (7° e 8° ano),-1,7.291666667,,7.716366667,Ametista,2023,Fase 3,7° e 8° ano
RA-591,FASE 2,2U,Masculino,2021,Pública,,Ametista,Ametista,7.507,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,9.0,8.5,6.27,6.9,6.2,7.5,,7.333333333,5.0,Fase 3 (7° e 8° ano),-1,5.833333333,,7.1472,Ametista,2023,Fase 3,7° e 8° ano
RA-592,FASE 2,2U,Feminino,2020,Privada,Ametista,Ametista,Ametista,7.381,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,6.2,9.2,3.77,7.6,5.5,9.7,,8.95,10.0,Fase 2 (5° e 6° ano),0,7.916666667,,7.935466667,Ametista,2023,Fase 2,5° e 6° ano
RA-602,FASE 2,2U,Masculino,2019,Pública,Ametista,Ametista,Ametista,8.041,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,10.0,9.6,7.52,8.1,7.3,8.8,,9.51,5.0,Fase 3 (7° e 8° ano),-1,8.75,,8.5592,Topázio,2023,Fase 3,7° e 8° ano
RA-666,FASE 2,2U,Masculino,2022,Pública,,,Ametista,7.929,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,9.5,9.1,7.52,7.1,6.7,7.5,,9.62,10.0,Fase 2 (5° e 6° ano),0,8.541666667,,8.720366667,Topázio,2023,Fase 2,5° e 6° ano
RA-667,FASE 2,2U,Masculino,2021,Pública,,Ametista,Quartzo,5.844,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,9.0,6.9,6.89,5.2,3.0,7.3,,7.836666667,5.0,Fase 3 (7° e 8° ano),-1,7.083333333,,6.774866667,Ágata,2023,Fase 3,7° e 8° ano
RA-422,FASE 2,2U,Masculino,2022,Pública,,,Ágata,6.746,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,0.0,7.8,7.52,4.4,3.0,5.7,,6.106666667,5.0,Fase 3 (7° e 8° ano),-1,6.666666667,,5.57,Quartzo,2023,Fase 3,7° e 8° ano
RA-595,FASE 2,2U,Masculino,2018,Pública,Ágata,Ametista,Quartzo,5.18,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,0.0,7.0,7.52,3.3,3.2,3.3,,5.55,5.0,Fase 3 (7° e 8° ano),-1,6.666666667,,5.078666667,Quartzo,2023,Fase 3,7° e 8° ano
RA-423,FASE 2,2U,Feminino,2022,Pública,,,Ágata,6.647,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,8.0,8.7,6.89,3.4,2.3,4.5,,7.45,5.0,Fase 3 (7° e 8° ano),-1,7.083333333,,6.607533333,Ágata,2023,Fase 3,7° e 8° ano
RA-669,FASE 2,2U,Masculino,2022,Pública,,,Ametista,7.475,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,8.5,7.8,7.52,5.0,3.3,6.7,,7.06,10.0,Fase 2 (5° e 6° ano),0,7.708333333,,7.345033333,Ametista,2023,Fase 2,5° e 6° ano
RA-670,FASE 2,2U,Feminino,2022,Pública,,,Ametista,7.451,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,9.5,8.7,7.52,7.0,5.8,8.2,,9.343333333,10.0,Fase 2 (5° e 6° ano),0,8.958333333,,8.6067,Topázio,2023,Fase 2,5° e 6° ano
RA-609,FASE 2,2U,Masculino,2019,Pública,Ametista,Ágata,Ágata,6.794,,,,3.0,Avaliador-32,Avaliador-5,Avaliador-2,,9.5,6.4,7.52,5.3,3.2,7.3,,6.216666667,5.0,Fase 3 (7° e 8° ano),-1,6.875,,6.463033333,Ágata,2023,Fase 3,7° e 8° ano
RA-326,FASE 3,3A,Feminino,2022,Privada,,,Topázio,8.22,,,,4.0,Avaliador-32,Avaliador-6,Avaliador-4,Avaliador-8,9.6,9.4,3.14,8.2,8.3,7.5,8.8,9.76,10.0,Fase 3 (7° e 8° ano),0,9.0625,,8.65075,Topázio,2023,Fase 3,7° e 8° ano
RA-179,FASE 3,3A,Masculino,2022,Pública,,,Ametista,7.993,,,,4.0,Avaliador-32,Avaliador-6,Avaliador-4,Avaliador-8,8.8,9.4,7.52,6.4,8.7,6.3,4.3,8.9225,10.0,Fase 3 (7° e 8° ano),0,8.59375,,8.437641667,Topázio,2023,Fase 3,7° e 8° ano
RA-1143,FASE 3,3A,Feminino,2023,Pública,,,,,,,,4.0,Avaliador-32,Avaliador-6,Avaliador-4,Avaliador-8,8.8,7.0,6.26,5.3,6.0,6.3,3.5,6.2075,5.0,Fase 5 (1° EM),-2,7.5,,6.445933333,Ágata,2023,Fase 5,1° EM
RA-330,FASE 3,3A,Feminino,2018,Pública,Ágata,Ágata,Ágata,6.446,,,,4.0,Avaliador-32,Avaliador-6,Avaliador-4,Avaliador-8,9.6,7.2,6.89,3.3,3.8,3.8,2.3,5.8275,5.0,Fase 5 (1° EM),-2,6.71875,,6.084875,Quartzo,2023,Fase 5,1° EM
RA-332,FASE 3,3A,Masculino,2017,Privada - Programa de Apadrinhamento,Ametista,Ametista,Ametista,7.883,,,,4.0,Avaliador-32,Avaliador-6,Avaliador-4,Avaliador-8,9.2,8.4,8.76,6.8,6.3,7.7,6.5,9.175,5.0,Fase 4 (9° ano),-1,8.28125,,8.002591667,Topázio,2023,Fase 4,9° ano
RA-199,FASE 3,3A,Masculino,2022,Privada,,,Ametista,7.564,,,,4.0,Avaliador-32,Avaliador-6,Avaliador-4,Avaliador-8,9.2,7.6,7.51,8.5,8.2,8.2,9.2,8.505,5.0,Fase 4 (9° ano),-1,7.96875,,7.892341667,Ametista,2023,Fase 4,9° ano
RA-1144,FASE 3,3B,Feminino,2023,Pública,,,,,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,0.0,9.4,5.02,8.0,7.0,8.2,8.8,8.0025,10.0,Fase 3 (7° e 8° ano),0,8.28125,,7.410625,Ametista,2023,Fase 3,7° e 8° ano
RA-352,FASE 3,3B,Masculino,2019,Pública,Ametista,Ametista,Ametista,7.834,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,9.2,8.1,6.26,7.2,8.2,6.0,7.5,7.17,10.0,Fase 3 (7° e 8° ano),0,7.96875,,7.840341667,Ametista,2023,Fase 3,7° e 8° ano
RA-1145,FASE 3,3B,Feminino,2023,Pública,,,,,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,0.0,9.5,4.39,7.8,7.7,7.7,8.0,8.63,10.0,Fase 2 (5° e 6° ano),1,8.59375,,7.484375,Ametista,2023,Fase 2,5° e 6° ano
RA-1146,FASE 3,3B,Feminino,2023,Pública,,,,,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,9.6,8.8,6.26,3.7,5.0,3.3,2.7,6.965,5.0,Fase 4 (9° ano),-1,7.1875,,6.689583333,Ágata,2023,Fase 4,9° ano
RA-331,FASE 3,3B,Feminino,2019,Pública,Ametista,Ametista,Ágata,6.636,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,9.6,8.6,2.52,5.2,5.7,4.8,5.2,6.7975,10.0,Fase 3 (7° e 8° ano),0,7.03125,,7.039791667,Ametista,2023,Fase 3,7° e 8° ano
RA-227,FASE 3,3B,Masculino,2022,Pública,,,Ágata,6.471,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,9.6,7.5,5.63,6.9,7.2,6.5,7.0,7.4625,10.0,Fase 3 (7° e 8° ano),0,8.28125,,7.722125,Ametista,2023,Fase 3,7° e 8° ano
RA-247,FASE 3,3B,Feminino,2021,Pública,,Ágata,Ametista,7.72,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,0.0,8.5,7.52,7.2,6.5,6.7,8.3,7.5425,10.0,Fase 3 (7° e 8° ano),0,8.28125,,7.221958333,Ametista,2023,Fase 3,7° e 8° ano
RA-343,FASE 3,3B,Masculino,2020,Pública,Ametista,Quartzo,Ágata,6.9,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,9.2,7.2,6.26,5.7,4.5,6.7,6.0,6.9225,5.0,Fase 5 (1° EM),-2,7.65625,,6.779591667,Ágata,2023,Fase 5,1° EM
RA-1147,FASE 3,3B,Feminino,2023,Pública,,,,,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,8.3,8.3,6.26,6.7,5.0,7.5,7.5,7.0075,5.0,Fase 4 (9° ano),-1,7.1875,,7.072983333,Ametista,2023,Fase 4,9° ano
RA-345,FASE 3,3B,Masculino,2021,Pública,,Ametista,Quartzo,5.75,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,8.8,6.8,6.26,4.6,5.7,5.7,2.5,7.1725,5.0,Fase 4 (9° ano),-1,8.125,,6.534766667,Ágata,2023,Fase 4,9° ano
RA-336,FASE 3,3B,Masculino,2016,Pública,Ametista,Ágata,Ágata,6.787,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,0.0,7.5,6.89,5.1,6.7,5.2,3.3,7.255,5.0,Fase 4 (9° ano),-1,7.34375,,5.887708333,Quartzo,2023,Fase 4,9° ano
RA-346,FASE 3,3B,Masculino,2022,Pública,,,Topázio,8.143,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,0.0,9.4,8.14,6.2,6.7,5.5,6.5,7.84,10.0,Fase 2 (5° e 6° ano),1,7.96875,,7.305541667,Ametista,2023,Fase 2,5° e 6° ano
RA-1148,FASE 3,3B,Feminino,2023,Pública,,,,,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,7.9,8.6,3.77,5.7,5.7,5.3,6.2,7.2125,10.0,Fase 2 (5° e 6° ano),1,7.5,,7.227866667,Ametista,2023,Fase 2,5° e 6° ano
RA-1149,FASE 3,3C,Feminino,2023,Pública,,,,,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,8.3,9.8,2.52,7.2,6.0,6.8,8.7,8.1725,5.0,Fase 4 (9° ano),-1,7.96875,,7.410108333,Ametista,2023,Fase 4,9° ano
RA-1150,FASE 3,3C,Masculino,2023,Pública,,,,,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,9.2,9.8,2.52,6.7,7.0,6.5,6.5,7.835,2.5,Fase 6 (2° EM),-3,7.96875,,7.076008333,Ametista,2023,Fase 6,2° EM
RA-1151,FASE 3,3C,Feminino,2023,Pública,,,,,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,7.5,9.5,2.52,8.3,7.3,8.8,8.7,7.545,10.0,Fase 3 (7° e 8° ano),0,7.65625,,7.829958333,Ametista,2023,Fase 3,7° e 8° ano
RA-356,FASE 3,3C,Masculino,2019,Pública,Topázio,Topázio,Ágata,6.69,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,9.2,8.5,2.52,3.4,4.3,4.5,1.3,6.5025,10.0,Fase 3 (7° e 8° ano),0,6.09375,,6.452008333,Ágata,2023,Fase 3,7° e 8° ano
RA-1152,FASE 3,3C,Masculino,2023,Pública,,,,,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,0.0,9.4,5.0,6.8,6.7,6.0,7.8,7.585,5.0,Fase 4 (9° ano),-1,7.8125,,6.544916667,Ágata,2023,Fase 4,9° ano
RA-221,FASE 3,3C,Masculino,2022,Pública,,,Ágata,6.892,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,9.6,9.0,5.0,5.0,5.5,4.8,4.8,7.38,5.0,Fase 5 (1° EM),-2,7.1875,,6.959916667,Ágata,2023,Fase 5,1° EM
RA-359,FASE 3,3C,Feminino,2019,Pública,Ametista,Ágata,Ágata,6.606,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,9.6,9.2,2.52,5.8,6.0,6.7,4.7,8.255,10.0,Fase 3 (7° e 8° ano),0,7.65625,,7.627125,Ametista,2023,Fase 3,7° e 8° ano
RA-360,FASE 3,3C,Feminino,2019,Pública,Ametista,Ágata,Ametista,7.075,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,0.0,7.3,2.52,4.3,5.3,4.8,2.8,7.4225,10.0,Fase 3 (7° e 8° ano),0,7.34375,,5.790875,Quartzo,2023,Fase 3,7° e 8° ano
RA-338,FASE 3,3D,Masculino,2019,Pública,Ametista,Ametista,Ágata,6.837,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,8.3,9.1,7.52,6.7,8.7,7.0,4.5,8.38,10.0,Fase 3 (7° e 8° ano),0,8.59375,,8.287441667,Topázio,2023,Fase 3,7° e 8° ano
RA-339,FASE 3,3D,Feminino,2019,Pública,Topázio,Ametista,Topázio,8.488,,,,4.0,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,0.0,8.9,7.52,7.1,7.7,5.7,7.8,8.255,10.0,Fase 3 (7° e 8° ano),0,7.8125,,7.377583333,Ametista,2023,Fase 3,7° e 8° ano
